CST 2026-08-09 17:43:06.994  1510  1510 W A01c06/ICON: AppIconWeatherModel --> initWeatherListener, retryTimes: 4
CST 2026-08-09 17:43:07.003  1510  1510 E A01c06/ICON: AppIconWeatherModel --> get weather info failed, code: 15700010, message: The DataShareHelper is not initialized successfully.
CST 2026-08-09 17:43:07.054  1510  2277 W A01b00/SCB: GraphicUtils --> com.huawei.emulatormultiscreen - getHdsIcon, size: (512, 512), pixelFormat: 4, leftTopPixel is transparent: true, 0-0-0-0
CST 2026-08-09 17:43:07.323  1510  2204 W A01b00/SCB: GraphicUtils --> combinePic from HdsIcon, bundleName: cn.alfadb.netbird.r1probe, iconSizeOfGrid: 58, hasBorder: false
CST 2026-08-09 17:43:07.328  1510  1510 W A01b00/SCB: BundleManagerFwk --> getIconResourceFromFwk for cn.alfadb.netbird.r1probe entry EntryAbility  0 false  undefined false end
CST 2026-08-09 17:43:07.328  1510  1510 I A01b00/SCB: MemoryCache --> setIconResource cacheKey cn.alfadb.netbird.r1probe#entryEntryAbility0, iconInfo.iconType normal, iconInfo.combinePicSrc 9662
CST 2026-08-09 17:43:07.328  1510  1510 W A01b00/SCB: MemoryCache --> setCacheIconPicTypeToMemory: cacheKey cn.alfadb.netbird.r1probe#entryEntryAbility0 iconType normal, foregroundLength:undefined, backgroundLength:undefined, combinePicLength:9662
CST 2026-08-09 17:43:07.328  1510  1510 W A01b00/SCB: IconResourceManager: combinePicSrc is empty: false, bundleName: cn.alfadb.netbird.r1probe, combinePicLength:9662, lastClearAppResourceCacheTag:None
CST 2026-08-09 17:43:07.329  1510  1510 I A01b0a/GESTURE: GestureDockPreferenceUtil --> getDockApps appEventListener: launcher.event.EVENT_REQUEST_RECOMMEND_FORM_ADD, params: cn.alfadb.netbird.r1probe
CST 2026-08-09 17:43:07.329  1510  1510 I A01b0a/GESTURE: GestureDockPreferenceUtil --> getRecentDockList
CST 2026-08-09 17:43:07.329  1510  1510 I A01b01/HOME: AppModel: currentBundleInfoList length: 7
CST 2026-08-09 17:43:07.332  1510  1510 E A01b0a/GESTURE: GestureDockActionAbilityStrategy --> expandDataByStrategy error, code: 17700003, msg: BusinessError 17700003: The specified ability is not found.
CST 2026-08-09 17:43:07.332  1510  1510 I A01b0a/GESTURE: GestureDockActionAbilityStrategy --> expandDataByStrategy end
CST 2026-08-09 17:43:07.332  1510  1510 I A01b0a/GESTURE: GestureDockPreferenceUtil --> recentApp length:1
