CST 2026-07-17 20:03:48.932     0     0 I I00000/HiLog: ========Zeroth log of type: init
CST 2026-07-17 20:03:52.221   412   412 I I02c01/CustCarrierMount: UpdateCotaOpkeyLink start
CST 2026-07-17 20:03:52.221   412   412 W I02c01/CustCarrierMount: not exsit CUST_GLOBAL_CARRIER_DIR or COTA_PARAM_CARRIER_DIR
CST 2026-07-17 20:03:53.324   412   412 I I02c01/CustCarrierMount: success to update cota carrier
CST 2026-07-17 20:05:53.608   728  3871 I C01120/BMS: execute begin app_provision_info
CST 2026-07-17 20:05:53.619  4290  4290 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4290 2000 2000] failed
CST 2026-07-17 20:05:53.619  4290  4290 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4290 2000 2000] failed
CST 2026-07-17 20:05:53.619  4290  4290 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
CST 2026-07-17 20:05:53.625  4290  4290 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4290 2000 2000] failed
CST 2026-07-17 20:05:53.625  4290  4290 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4290 2000 2000] failed
CST 2026-07-17 20:05:53.625  4290  4290 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
CST 2026-07-17 20:05:53.639   611   930 I C02515/DISP: [CommitComposeLayer:67] CommitComposeLayer! 10
CST 2026-07-17 20:05:53.729  4294  4294 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4294 2000 2000] failed
CST 2026-07-17 20:05:53.729  4294  4294 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4294 2000 2000] failed
CST 2026-07-17 20:05:53.729  4294  4294 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
CST 2026-07-17 20:05:53.731  4297  4297 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4297 2000 2000] failed
CST 2026-07-17 20:05:53.731  4297  4297 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4297 2000 2000] failed
CST 2026-07-17 20:05:53.731  4297  4297 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
CST 2026-07-17 20:05:53.739  4299  4299 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [4299 2000 2000] failed
