artifact	size_bytes	sha256
EV-E3-EMU24-20260717-0004-after-60s-layout.json	34353	df192c20694e460719b21e3014f32ecfa73d68482d60ed2027803d8cf144ac13
EV-E3-EMU24-20260717-0004-after-60s.png	173152	9a260ae441db6a0eb6850c03fb7e21a8eaa3a3c92dd651b34c763a80082bb087
EV-E3-EMU24-20260717-0004-application-a-hap.bin	34574	6b3cb636238188ebf9ebd767f2f0fa0c7beab2bdde6028fa6e4bc2da42084d6c
EV-E3-EMU24-20260717-0004-bm-dump-vpndialog.log	66	11870ca139e6ec870a3c0919cec22696ae10630cbe889de2e075996c08fb871f
EV-E3-EMU24-20260717-0004-bms-bundle-list-full.log	1817	7d7bff42c4951c5ad8bb3b9f24516c0281d4fe8b8b45a08b70edbcbf405685aa
EV-E3-EMU24-20260717-0004-bms-bundle-list-vpn-search.log	28	5fe42a4f37cb676882bd912926005bace1697b81d4091ca67da2eb1e7ff51c48
EV-E3-EMU24-20260717-0004-emulator-console.log	1901	ee7319bd87870cfab796ab0b57dfbf88b10fd7e02bf86c989a3db609b6c96a5a
EV-E3-EMU24-20260717-0004-entry-layout.json	34329	77223cc92297274b86a1a3800f5d173223df813adf682812875b6d4f54774647
EV-E3-EMU24-20260717-0004-fault-list.log	2283	e1e29f86124b71321f64fb23fc4bcd5dd6d32f96095b539ab4755a97f2dc2262
EV-E3-EMU24-20260717-0004-final-cleanup.log	473	218cbd4587aa2f34fa6a2b16a86a7f4b59369a7b91ace3b292991799b666b16e
EV-E3-EMU24-20260717-0004-hilog-full.log	3199224	4ed0d2f6ff6ca40d56d4fed571f14f846cdb7a8672e436a84bf96f9a9447e0a2
EV-E3-EMU24-20260717-0004-settings-bm-dump-full.log	214119	7f141d1014c10bc6d8820a9d32f3c4dce02b33ea3d673b9750e59e2237f18776
EV-E3-EMU24-20260717-0004-settings-vpn-search.log	19584	0531dc38d2de49bbfb2ca9007fbe4da0e31effca2da404c56914e7fdd897b33a
EV-E3-EMU24-20260717-0004-system-hap-vpndialog-search.log	512	c4df6ccb0638ac0038e1776f658dd77d9e953e43b8b806ee17bfea7ddf0f9aca
EV-E3-EMU24-20260717-0004-transcript.log	33532	7da7e5b6728eaa7bba5b791532d64ef7939e43970c3539520bb5e571e4a2c894
